judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Komang;Raim Laode;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/2AaaE0qvFWtyT8srKNfRhH;['indonesian pop'];Dari kejauhan, tergambar cerita tentang kita Terpisah jarak dan waktu Ingin kuungkapkan rindu lewat kata indah Tak cukup untuk dirimu  Sebab kau terlalu indah dari sekedar kata Dunia berhenti sejenak menikmati indahmu  Dan apabila tak bersamamu Kupastikan kujalani dunia tak seindah kemarin ...
Rumah;Dere;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3qvj9kdRjNTgA0zxSAFGbD;['indonesian pop'];Hilang dahan Burung berhenti terbang Hilang pohon tempatnya beregang Air naik Menelan lahan-lahan Kipas yang memutar angin panas  Duh, mana yang lebih panjang Umurku atau umur bumiku bernaung? Duh, mana yang lebih besar Egoku atau ketidaktahuan yang terpasung? ...
Bertaut;Nadin Amizah;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX;['indonesian pop'];Bun, hidup berjalan seperti bajingan Seperti landak yang tak punya teman Ia menggonggong bak suara hujan Dan kau pangeranku, mengambil peran  Bun, kalau saat hancur, ku disayang Apalagi saat ku jadi juara Saat tak tahu arah, kau di sana Menjadi gagah saat ku tak bisa  Sedikit kujelaskan tentangku dan kamu Agar seisi dunia tahu  Keras kepalaku sama denganmu Caraku marah, caraku tersenyum Seperti detak jantung yang bertaut ...
To the Bone;Pamungkas;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF;['indonesian pop', 'indonesian singer-songwriter'];Have I ever told you I want you to the bone? Have I ever called you When you are all alone?  And if I ever forget To tell you how I feel Listen to me now, babe I want you to the bone  I want you to the bone Oh-oh-ooh-ooh I want you to the bone Oh-oh-oh-oh  Maybe if you can see What I feel through my bone Every corner in me There's your presence that grown  Maybe I nurture it more By saying how I feel But I did mean it before I want you to the bone I want you to-  Take me home, I'm fallin' Love me long, I'm rollin' Losing control, body and soul ...
Untukmu Yang Telah Pergi;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/7oH8xs1b0oi7En3GOxYozm;['lagu melayu'];Masih sering tumbuh tanya di hatiku Di mana kau, kekasihku? Meski ku tahu dikau takkan kembali Senyum dan kerlingmu sejernih tetes embun pagi Bayanganmu seindah warna pelangi  Tak mungkin melupakan Cintamu seputih salju Meski waktu melaju Lembut gelombang rambutmu Hitam, panjang, sebahu  Hanya bisa kubisikkan Kutitipkan jiwamu kepada Nabi Muhammad, Sang Maha Kekasih ...
Adelaide Sky;Adhitia Sofyan;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3843qh8Ih59FwSCDzPigNU;['indonesian folk', 'indonesian folk pop', 'indonesian indie', 'indonesian singer-songwriter'];I need to know what's on your mind These coffee cups are getting cold Mind the people passing by They don't know I'll be leaving soon  I'll fly away tomorrow To far away I'll admit a cliché Things won't be the same without you  I'll be looking out my window seeing Adelaide sky Would you be kind enough to remember? And I'll be hearing my own foot steps under Adelaide sky Would you be kind enough to remember me?  ...
Desember;Efek Rumah Kaca;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0yyRL7Rxr4oJ6uI7DYe2OT;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];S'lalu ada yang bernyanyi dan berelegi Di balik awan hitam S'moga ada yang menerangi sisi gelap ini Menanti seperti p'langi Setia menunggu hujan reda  Aku selalu suka Sehabis hujan di bulan Desember Di bulan Desember  S'lalu ada yang bernyanyi dan berelegi ...
Jika Cintaku Kepadamu;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0G5OTLoH88OqEvkcnwVwAf;['lagu melayu'];Ke mana kulabuhkan gundah dan resahku Selain haribaan rengkuhan kasihmu? Teka-teki seiring laju waktu Hiruk-pikuk bergegas jalanan tak acuh  Mawar atau melatikah yang engkau sukai? Atau kamboja, seroja yang kaumaui?  Jika cintaku padamu ...
Kota;Dere;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va;['indonesian pop'];Di kota ini sehabis hujan Desember yang lalu Di kota ini dalam ruangan Berpenyejuk udara  Kau dan wangimu bersanding dengan Riuh angin di luar  Udara mana kini yang kau hirup? Hujan di mana kini yang kau peluk? Di mana pun kau kini ...
Pulang;Float;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/5Ge3e6dV4wsae8lDQQq8PY;['indonesian folk', 'indonesian indie'];Dan lalu Rasa itu tak mungkin lagi kini Tersimpan di hati Bawa aku pulang, rindu Bersamamu  Dan lalu Air mata tak mungkin lagi kini Bicara tentang rasa Bawa aku pulang, rindu Segera ...
