judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Konservatif;The Adams;2000s Indonesian Indie;7qUkZhXym0LCTdcmwhGO3b;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Siang kusaksikan engkau terduduk sendiri Dengan kostummu yang berkilau Dan angin sedang kencang-kencang berhembus Di Jakarta  Dan aku 'kan berada di teras rumahmu Saat air engkau suguhkan ...
Cinta Melulu;Efek Rumah Kaca;2000s Indonesian Indie;1jwaf6CWAWUrbqAT5mrKrA;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Nada-nada yang minor Lagu perselingkuhan Atas nama pasar semuanya begitu klise  Elegi patah hati Ode pengusir rindu Atas nama pasar semuanya begitu banal  Oh-oh Lagu cinta melulu ...
Waiting;The Adams;2000s Indonesian Indie;6aw5G0HhAmyqM2OlqjTjOb;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Waiting... Waiting for you tonight I'm dreaming you are here with me tonight  Someday... I will be by your side Together we climb mountain across the sea  Believe in me that you want it too You never let somebody closed to you Just promise me that you never let me down None of this is gonna last forever  Believe in me that you want it too You never let somebody closed to you Just promise me that you never let me down Love me 'till the end of time  Waiting... I gotta closed to you Every time I see you, what you gonna do? ...
Halo Beni;The Adams;2000s Indonesian Indie;01HgNsJMMuk3Cdma45pDR0;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Oh hawa, Di luar terasa sungguh menggigilkan Dan nyamuk-nyamuk banyak bertebaran Aku hanya berkata peduli setan  Oh crazy  Tenaga Bertambah hingga 12 kali lipat. Dan kantuk pun terasa sirna juga Aku siap lontarkan semua kata  Oh crazy. Oh crazy oh crazy Halo... Beni beni beni... Halo... Beni beni beni... Halo... Beni beni beni... ...
Horse;The SIGIT;2000s Indonesian Indie;5jla8fgWktggzuMfz97DuU;['indonesian alternative rock', 'indonesian indie', 'indonesian rock'];baby is a horse running out my course Papa was the first to taste Her meat was what she has  Learning by time and doing she's humming na, na, na, na, yeah, uh yeah  ...
The Supermarket I Am In;Goodnight Electric;2000s Indonesian Indie;6xhLi9pllRbiW2r7NK77mZ;['indonesian indie'];Let's get together Look for some fun We are getting absurd We're gonna play We're gonna run I just don't like mustard  This glorious day we have no rules We're only stealing colors We are the one who can share all the love In the supermarket  Coca cola, drugstore We are dancing on the floor Making out behind the door ...
No Fruits For Today;Sore;2000s Indonesian Indie;7AF6CWylAEIVyaIYCxe8o9;['indonesian folk pop', 'indonesian indie', 'indonesian indie pop'];Slowly down the avenue And the irony of liking you What was to be some brand new shoes Now them colour has come out pure blue  I'd love to love the sunshine thru But love in doubt will not have two ...
Setengah Lima;Sore;2000s Indonesian Indie;1feOaXwpdAtKphBT1uXxoU;['indonesian folk pop', 'indonesian indie', 'indonesian indie pop'];"Suara Bisikan ""hai"" menjalar Mengikis bunga layu sampai aku Akhirnya merasakan  Mati suri di taman Mati suri di taman Mati suri di taman Mati suri di taman  Luapan ..."
I've Got Johnny in My Head;Teenage Death Star;2000s Indonesian Indie;5QPa0rmNEhWGjOChRu5EYS;['indonesian indie', 'indonesian punk', 'indonesian rock'];I've got Johnny in my head (Johnny in my head) When I'm feeling so bad (feelings so bad) I've got Johnny in my head (Johnny in my head) When I'm feelings so sad (feeling so sad)  I've got Johnny in my head (Johnny in my head) When I'm feeling so sad (feelings so sad) Woooooh  Johnny, Johnny, Johnny, Johnny Johnny, Johnny, Johnny, Johnny Johnny, come on  Oooh ...
All That Glitters Are Not Gold;Teenage Death Star;2000s Indonesian Indie;5919teajynq4f982xqEsRE;['indonesian indie', 'indonesian punk', 'indonesian rock'];I want it now And you can show me And you can show me on Everything you've got  I want it now And you can call me And you can call me on Everything you've got is so bright Woo  ...
